,urls
105,https://www.spotahome.com/barcelona/for-rent:apartments/989038
106,https://www.spotahome.com/barcelona/for-rent:apartments/477121
107,https://www.spotahome.com/barcelona/for-rent:apartments/1087760
108,https://www.spotahome.com/barcelona/for-rent:apartments/621523
109,https://www.spotahome.com/barcelona/for-rent:apartments/460772
110,https://www.spotahome.com/barcelona/for-rent:apartments/153489
111,https://www.spotahome.com/barcelona/for-rent:apartments/607963
112,https://www.spotahome.com/barcelona/for-rent:apartments/726579
113,https://www.spotahome.com/barcelona/for-rent:apartments/258987
114,https://www.spotahome.com/barcelona/for-rent:apartments/942435
115,https://www.spotahome.com/barcelona/for-rent:apartments/640436
116,https://www.spotahome.com/barcelona/for-rent:apartments/1189114
117,https://www.spotahome.com/barcelona/for-rent:apartments/948958
118,https://www.spotahome.com/barcelona/for-rent:apartments/1198335
119,https://www.spotahome.com/barcelona/for-rent:apartments/811867
120,https://www.spotahome.com/barcelona/for-rent:apartments/373921
121,https://www.spotahome.com/barcelona/for-rent:apartments/949913
122,https://www.spotahome.com/barcelona/for-rent:apartments/1197197
123,https://www.spotahome.com/barcelona/for-rent:apartments/1081588
124,https://www.spotahome.com/barcelona/for-rent:apartments/928829
125,https://www.spotahome.com/barcelona/for-rent:apartments/1090685
126,https://www.spotahome.com/barcelona/for-rent:apartments/119474
127,https://www.spotahome.com/barcelona/for-rent:apartments/143948
128,https://www.spotahome.com/barcelona/for-rent:apartments/404546
129,https://www.spotahome.com/barcelona/for-rent:apartments/622468
130,https://www.spotahome.com/barcelona/for-rent:apartments/202656
131,https://www.spotahome.com/barcelona/for-rent:apartments/637597
132,https://www.spotahome.com/barcelona/for-rent:apartments/478401
133,https://www.spotahome.com/barcelona/for-rent:apartments/400855
134,https://www.spotahome.com/barcelona/for-rent:apartments/963794
135,https://www.spotahome.com/barcelona/for-rent:apartments/560414
136,https://www.spotahome.com/barcelona/for-rent:apartments/1007682
137,https://www.spotahome.com/barcelona/for-rent:apartments/607095
138,https://www.spotahome.com/barcelona/for-rent:apartments/1081528
139,https://www.spotahome.com/barcelona/for-rent:apartments/265357
140,https://www.spotahome.com/barcelona/for-rent:apartments/432250
141,https://www.spotahome.com/barcelona/for-rent:apartments/622043
142,https://www.spotahome.com/barcelona/for-rent:apartments/149531
143,https://www.spotahome.com/barcelona/for-rent:apartments/687891
144,https://www.spotahome.com/barcelona/for-rent:apartments/765614
145,https://www.spotahome.com/barcelona/for-rent:apartments/122901
146,https://www.spotahome.com/barcelona/for-rent:apartments/1015667
147,https://www.spotahome.com/barcelona/for-rent:apartments/954532
148,https://www.spotahome.com/barcelona/for-rent:apartments/349243
149,https://www.spotahome.com/barcelona/for-rent:apartments/651143
150,https://www.spotahome.com/barcelona/for-rent:apartments/640951
151,https://www.spotahome.com/barcelona/for-rent:apartments/1190972
152,https://www.spotahome.com/barcelona/for-rent:apartments/152120
153,https://www.spotahome.com/barcelona/for-rent:apartments/997371
154,https://www.spotahome.com/barcelona/for-rent:apartments/1004225
155,https://www.spotahome.com/barcelona/for-rent:apartments/404381
156,https://www.spotahome.com/barcelona/for-rent:apartments/866985
157,https://www.spotahome.com/barcelona/for-rent:apartments/125023
158,https://www.spotahome.com/barcelona/for-rent:apartments/855852
159,https://www.spotahome.com/barcelona/for-rent:apartments/779227
160,https://www.spotahome.com/barcelona/for-rent:apartments/595422
161,https://www.spotahome.com/barcelona/for-rent:apartments/270804
162,https://www.spotahome.com/barcelona/for-rent:apartments/1070387
163,https://www.spotahome.com/barcelona/for-rent:apartments/1161001
164,https://www.spotahome.com/barcelona/for-rent:apartments/610680
165,https://www.spotahome.com/barcelona/for-rent:apartments/990702
166,https://www.spotahome.com/barcelona/for-rent:apartments/1069918
167,https://www.spotahome.com/barcelona/for-rent:apartments/781197
168,https://www.spotahome.com/barcelona/for-rent:apartments/815864
169,https://www.spotahome.com/barcelona/for-rent:apartments/1186757
170,https://www.spotahome.com/barcelona/for-rent:apartments/111757
171,https://www.spotahome.com/barcelona/for-rent:apartments/305518
172,https://www.spotahome.com/barcelona/for-rent:apartments/305598
173,https://www.spotahome.com/barcelona/for-rent:apartments/1189764
174,https://www.spotahome.com/barcelona/for-rent:apartments/955653
175,https://www.spotahome.com/barcelona/for-rent:apartments/1190812
176,https://www.spotahome.com/barcelona/for-rent:apartments/1192204
177,https://www.spotahome.com/barcelona/for-rent:apartments/1194875
178,https://www.spotahome.com/barcelona/for-rent:apartments/620911
179,https://www.spotahome.com/barcelona/for-rent:apartments/1083480
180,https://www.spotahome.com/barcelona/for-rent:apartments/1187788
181,https://www.spotahome.com/barcelona/for-rent:apartments/1088259
182,https://www.spotahome.com/barcelona/for-rent:apartments/466848
183,https://www.spotahome.com/barcelona/for-rent:apartments/1083918
184,https://www.spotahome.com/barcelona/for-rent:apartments/620948
185,https://www.spotahome.com/barcelona/for-rent:apartments/637701
186,https://www.spotahome.com/barcelona/for-rent:apartments/1015471
187,https://www.spotahome.com/barcelona/for-rent:apartments/980621
188,https://www.spotahome.com/barcelona/for-rent:apartments/1082181
189,https://www.spotahome.com/barcelona/for-rent:apartments/952511
190,https://www.spotahome.com/barcelona/for-rent:apartments/1074128
191,https://www.spotahome.com/barcelona/for-rent:apartments/1181964
192,https://www.spotahome.com/barcelona/for-rent:apartments/400745
193,https://www.spotahome.com/barcelona/for-rent:apartments/641651
194,https://www.spotahome.com/barcelona/for-rent:apartments/444482
195,https://www.spotahome.com/barcelona/for-rent:apartments/276120
196,https://www.spotahome.com/barcelona/for-rent:apartments/148739
197,https://www.spotahome.com/barcelona/for-rent:apartments/206859
198,https://www.spotahome.com/barcelona/for-rent:apartments/1018633
199,https://www.spotahome.com/barcelona/for-rent:apartments/621056
200,https://www.spotahome.com/barcelona/for-rent:apartments/426957
201,https://www.spotahome.com/barcelona/for-rent:apartments/620656
202,https://www.spotahome.com/barcelona/for-rent:apartments/1007862
203,https://www.spotahome.com/barcelona/for-rent:apartments/1008449
204,https://www.spotahome.com/barcelona/for-rent:apartments/606434
205,https://www.spotahome.com/barcelona/for-rent:apartments/1003489
206,https://www.spotahome.com/barcelona/for-rent:apartments/943946
207,https://www.spotahome.com/barcelona/for-rent:apartments/651779
208,https://www.spotahome.com/barcelona/for-rent:apartments/926927
209,https://www.spotahome.com/barcelona/for-rent:apartments/599384
210,https://www.spotahome.com/barcelona/for-rent:apartments/212905
211,https://www.spotahome.com/barcelona/for-rent:apartments/209224
212,https://www.spotahome.com/barcelona/for-rent:apartments/989023
